Family,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,C3,C4,Nit_fix,Fabaceae
Chenopodiaceae,Haloxylon persicum,Haloxylon persicum,TRUE,NCBI,0.988,Western  to Central Asia,,,,5,4.5,,https://en.wikipedia.org/wiki/Haloxylon_persicum,,1,1,,0,Chenopodiaceae
Zingiberaceae,Hedychium gardnerianum,Hedychium gardnerianum,TRUE,NCBI,0.988,Himalayas,,,,,,2.4,https://en.wikipedia.org/wiki/Hedychium_gardnerianum,,0,1,,0,Zingiberaceae
Apiaceae,Heracleum mantegazzianum,Heracleum mantegazzianum,TRUE,NCBI,0.988,Central Asia,,3.708099244,Non-native,5.5,2,,https://en.wikipedia.org/wiki/Heracleum_mantegazzianum,,0,1,,0,Apiaceae
Apiaceae,Heracleum sphondylium,Heracleum sphondylium,TRUE,Catalogue of Life,0.988,Europe and Asia,,1.013400116,Native,1.2,0.5,,https://en.wikipedia.org/wiki/Heracleum_sphondylium,,0,1,,0,Apiaceae
Poaceae,Hesperostipa comata,Hesperostipa comata,TRUE,NCBI,0.988,North America,,,,,,1,https://en.wikipedia.org/wiki/Hesperostipa_comata,,0,1,,0,Poaceae
Poaceae,Heteropogon contortus,Heteropogon contortus,TRUE,NCBI,0.988,"Southern Africa, southern Asia, Oceania",,,,,,1.5,https://en.wikipedia.org/wiki/Heteropogon_contortus,,0,0,,0,Poaceae
Balsaminaceae,Impatiens glandulifera,Impatiens glandulifera,TRUE,NCBI,0.988,Himalayas,,1.310370697,Non-native,2,1,,https://en.wikipedia.org/wiki/Impatiens_glandulifera,,0,1,,0,Balsaminaceae
Crassulaceae,Kalanchoe daigremontiana,Kalanchoe daigremontiana,TRUE,NCBI,0.988,Madagascar,,,,,,1,https://en.wikipedia.org/wiki/Bryophyllum_daigremontianum,,0,0,,0,Crassulaceae
Rhizophoraceae,Kandelia obovata,Kandelia obovata,TRUE,NCBI,0.988,Southern China,,,,,,3,http://www.jstor.org/stable/3647398?seq=1#page_scan_tab_contents,,1,,,0,Rhizophoraceae
Chenopodiaceae,Krascheninnikovia lanata,Krascheninnikovia lanata,TRUE,NCBI,0.988,Western North America,,,,1,0.5,,https://en.wikipedia.org/wiki/Krascheninnikovia_lanata,,1,,,0,Chenopodiaceae
Verbenaceae,Lantana camara,Lantana camara,TRUE,NCBI,0.988,Central and South America,,,,,,2,https://en.wikipedia.org/wiki/Lantana_camara,,1,1,,0,Verbenaceae
Oleaceae,Ligustrum lucidum,Ligustrum lucidum,TRUE,NCBI,0.988,Southern China,,,,,,10,https://en.wikipedia.org/wiki/Ligustrum_lucidum,,1,1,,0,Oleaceae
Magnoliaceae,Liriodendron tulipifera,Liriodendron tulipifera,TRUE,NCBI,0.988,North America,,,,30,25,,https://en.wikipedia.org/wiki/Liriodendron_tulipifera,,1,1,,0,Magnoliaceae
Caprifoliaceae,Lonicera maackii,Lonicera maackii,TRUE,NCBI,0.988,East and Central Asia,,,,,,6,https://en.wikipedia.org/wiki/Lonicera_maackii,,1,1,,0,Caprifoliaceae
Fabaceae,Lupinus luteus,Lupinus luteus,TRUE,NCBI,0.988,Southern Europe and North Africa,,0.396862697,Non-native,,,1.5,http://www.kew.org/science-conservation/plants-fungi/lupinus-polyphyllus-large-leaved-lupin,,0,1,,1,Fabaceae
Lythraceae,Lythrum salicaria,Lythrum salicaria,TRUE,Catalogue of Life,0.988,"Europe, North Africa, Asia, southeastern Australia",,0.696238325,Native,2,1,,https://en.wikipedia.org/wiki/Lythrum_salicaria,,0,1,,0,Lythraceae
Piperaceae,Macropiper excelsum,Macropiper excelsum,TRUE,Catalogue of Life,0.988,New Zealand,,,,3,2,,http://www.nznativeplants.co.nz/Articles/Macropiper+excelsum.html,,1,,,0,Piperaceae
Convallariaceae,Maianthmum canadense,Maianthemum canadense,FALSE,Catalogue of Life,0.75,North America,,,,0.25,0.1,,https://en.wikipedia.org/wiki/Maianthemum_canadense,,0,1,,0,Convallariaceae
Myrtaceae,Melaleuca quinquenervia,Melaleuca quinquenervia,TRUE,NCBI,0.988,"New Caledonia, Papua New Guinea, Eastern Australia",,,,,,20,https://en.wikipedia.org/wiki/Melaleuca_quinquenervia,,1,1,,0,Myrtaceae
#N/A,Melilotus,Melilotus,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,,,0,#N/A
Poaceae,Melinis minutiflora,Melinis minutiflora,TRUE,NCBI,0.988,Africa,,,,1.5,0.75,,https://en.wikipedia.org/wiki/Melinis_minutiflora,,0,0,,0,Poaceae
Myrtaceae,Metrosideros polymorpha,Metrosideros polymorpha,TRUE,NCBI,0.988,Hawaii,,,,25,20,,https://en.wikipedia.org/wiki/Metrosideros_polymorpha,,1,1,,0,Myrtaceae
Poaceae,Microstegium vimineum,Microstegium vimineum,TRUE,NCBI,0.988,"South, East and South-East Asia",,,,1,0.4,,https://en.wikipedia.org/wiki/Microstegium_vimineum,,0,0,,0,Poaceae
Asteraceae,Mikania micrantha,Mikania micrantha,TRUE,NCBI,0.988,Subtropical Americas,,,,,,,,Species is a climbing vine. What does this mean for height?,0,,,0,Asteraceae
Scrophulariaceae,Mimulus guttatus,Mimulus guttatus,TRUE,Freebase,0.988,Western North America,,0.342246116,Non-native,0.8,0.1,,https://en.wikipedia.org/wiki/Mimulus_guttatus,,0,1,,0,Scrophulariaceae
Poaceae,Molinia caerulea,Molinia caerulea,TRUE,NCBI,0.988,"Europe, west Asia, North America",,0.74246212,Native,,,0.9,https://en.wikipedia.org/wiki/Molinia_caerulea,,0,1,,0,Poaceae
Myricaceae,Myrica cerifera,Myrica cerifera,TRUE,Freebase,0.988,North and Central America,,,,9,3,,http://plants.usda.gov/factsheet/pdf/fs_mypu.pdf,,1,,,0,Myricaceae
Myricaceae,Myrica faya,Myrica faya,TRUE,Freebase,0.988,"Azores, Madeira, Canary Islands",,,,8,3,,https://en.wikipedia.org/wiki/Myrica_faya,,1,1,,0,Myricaceae
Poaceae,Nassella pulchra,Nassella pulchra,TRUE,NCBI,0.988,California,,,,,,1,https://en.wikipedia.org/wiki/Nassella_pulchra,,0,,,0,Poaceae
Poaceae,Nassella viridula,Nassella viridula,TRUE,NCBI,0.988,North America,,,,,,1.2,https://en.wikipedia.org/wiki/Nassella_viridula,,0,,,0,Poaceae
#N/A,Opuntia caracassana,Opuntia caracassana,TRUE,NCBI,0.988,,Origin unsure,,,2,1,,https://de.wikipedia.org/wiki/Opuntia_caracassana,,0,,,0,Cactaceae
Poaceae,Oryzopsis hymenoides,Oryzopsis hymenoides,TRUE,Freebase,0.988,Western North America,,,,61,10,,https://en.wikipedia.org/wiki/Oryzopsis_hymenoides,,0,1,,0,Poaceae
Oxalidaceae,Oxalis pes-caprae,Oxalis pes-caprae,TRUE,NCBI,0.988,South Africa,,0.2,Non-native,0.3,0.15,,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/html/Oxalis_pes-caprae.htm,,0,1,,0,Oxalidaceae
Poaceae,Panicum virgatum,Panicum virgatum,TRUE,NCBI,0.988,North America,,,,,,2.7,https://en.wikipedia.org/wiki/Panicum_virgatum,,0,0,,0,Poaceae
Asteraceae,Parthenium hysterophorus,Parthenium hysterophorus,TRUE,NCBI,0.988,American tropics,,,,0.9,0.3,,http://www.cabi.org/isc/datasheet/45573,,0,1,,0,Asteraceae
Poaceae,Pascopyrum smithii,Pascopyrum smithii,TRUE,NCBI,0.988,North America,,,,0.9,0.3,,http://plants.usda.gov/factsheet/pdf/fs_pasm.pdf,,0,1,,0,Poaceae
