,X,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Median_height
135,135,Pleuraphis jamesii,Pleuraphis jamesii,TRUE,Freebase,0.988,South Western USA,,NA,,NA,NA,0.6,https://en.wikipedia.org/wiki/Hilaria_jamesii,,0.6
136,136,Pluchea sericea,Pluchea sericea,TRUE,NCBI,0.988,Southern USA andNorthern Mexico,,NA,,NA,NA,3.65,http://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Pluchea_sericea.html,,3.65
137,137,Poa cita,Poa cita,TRUE,NCBI,0.988,,Origin unsure,NA,,NA,NA,0.7,https://www.southernwoods.co.nz/shop/poa-cita/,,0.7
138,138,Poa pratensis,Poa pratensis,TRUE,NCBI,0.988,"Europe, North America, Asia, North Africa",,0.3,Native,0.7,0.3,NA,https://en.wikipedia.org/wiki/Poa_pratensis,,0.5
139,139,Poplus alba,Populus alba,FALSE,Catalogue of Life,0.75,Europe and Northern Africa,,23.23790008,Native,27,16,NA,https://en.wikipedia.org/wiki/Populus_alba,,21.5
140,140,Populus deltoides,Populus deltoides,TRUE,Catalogue of Life,0.988,Eastern North America,,NA,,40,20,NA,https://en.wikipedia.org/wiki/Populus_deltoides,,30
141,141,Populus,Populus,TRUE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
142,142,Propsopis juliflora,Propsopis juliflora,TRUE,EOL,0.988,"Mexico, South America and Carribean",,NA,,NA,NA,12,https://en.wikipedia.org/wiki/Prosopis_juliflora,,12
143,143,Prosopis cineraria,Prosopis cineraria,TRUE,NCBI,0.988,Western Asia and Indian subcontinent,,NA,,5,3,NA,https://en.wikipedia.org/wiki/Prosopis_cineraria,,4
144,144,Prosopis juliflora,Prosopis juliflora,TRUE,NCBI,0.988,"Mexico, South America and Carribean",,NA,,NA,NA,12,https://en.wikipedia.org/wiki/Prosopis_juliflora,,12
145,145,Prunus serotina,Prunus serotina,TRUE,NCBI,0.988,North and South America,,18.90410959,Non-native,38,20,NA,http://www.cabi.org/isc/datasheet/44360,,29
