SiteID,Latitude,Longitude
Hook et al (2004)f,45.59833333,-111.195
Hook et al (2004)g,45.665,-110.6916667
Hook et al (2004)g,45.665,-110.6916667
Hook et al (2004)g,45.665,-110.6916667
Hook et al (2004)h,45.66,-110.665
Hook et al (2004)h,45.66,-110.665
Hook et al (2004)h,45.66,-110.665
Hook et al (2004)i,45.64333333,-110.9216667
Hook et al (2004)i,45.64333333,-110.9216667
Hook et al (2004)i,45.64333333,-110.9216667
Hughes et al 2005a,19.44805556,-154.8611111
Hughes et al 2005b,19.41972222,-154.9538889
Hughes et al 2005c,19.41972222,-154.9538889
Cleverly et al (2006)b,34.95888889,-106.6997222
Cleverly et al (2006)b,34.95888889,-106.6997222
Prater et al (2006)a,39.85,-119.8166667
Prater et al (2006)a,39.85,-119.8166667
Nagler et al 2005a,33.8,-106.9
Nagler et al 2005b,34.3,-106.8
Hatler et al (2009)a,31.692,-103.622
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)b,50.870629,4.314821
Koutika et al (2007)c,51.05844,5.27176
Koutika et al (2007)d,51.21992,4.39625
Koutika et al (2007)d,51.21992,4.39625
Koutika et al (2007)d,51.21992,4.39625
