ID	Family	taxa	Trait	Data	DataType	Method	Source	Region2	Redundancy
C07982	Apiaceae	Bupleurum rigidum	RootDepth	0.7	quantitative	measure	GuerreroCampo2006	W	NA
C02604	Apiaceae	Bupleurum rigidum	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
R02952	Apiaceae	Bupleurum rigidum	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
C06550	Apiaceae	Bupleurum rigidum	SeedlEmerg	yes	categorical	measure	Trabaud2002	W	NA
R03631	Apiaceae	Bupleurum rigidum	SeedlEmerg	no	categorical	compilation	Cuco1987	W	NA
E03517	Apiaceae	Bupleurum semicompositum	DispMode	autochory	categorical	compilation	Kazanis2005	E	NA
E03518	Apiaceae	Bupleurum semicompositum	FruitType	dry	categorical	general reference	Tutin1964	U	NA
E03519	Apiaceae	Bupleurum semicompositum	Height	0.3	quantitative	general reference	Tutin1964	U	NA
E03521	Apiaceae	Bupleurum semicompositum	LeafSize	very small	semi-quantitative	experience	Attica	E	NA
E03524	Apiaceae	Bupleurum semicompositum	Propagule	fruit	categorical	experience	Attica	E	NA
R00751	Apiaceae	Bupleurum semicompositum	RespFire	no	categorical	compilation	Kazanis2004a	E	192
E03525	Apiaceae	Bupleurum semicompositum	RespFire	no	semi-quantitative	compilation	Kazanis2005	E	192
C06254	Apiaceae	Bupleurum semicompositum	SeedBank	soil	categorical	compilation	Kazanis2004a	E	234
E03526	Apiaceae	Bupleurum semicompositum	SeedBank	soil	categorical	compilation	Kazanis2005	E	234
E05220	Apiaceae	Bupleurum semicompositum	SeedBankLong	persistent/unk	semi-quantitative conditional	compilation	Kazanis2005	E	263
